,hour,longitude,latitude,value,,,,
0,0,116.4378,39.9916,22,,,,"{name: '0',value: [116.4378,39.9916,22]},"
1,0,116.4397,39.9408,742,,,,"{name: '1',value: [116.4397,39.9408,742]},"
2,0,116.4201,40.0963,8,,,,"{name: '2',value: [116.4201,40.0963,8]},"
3,0,116.418,40.0287,12,,,,"{name: '3',value: [116.418,40.0287,12]},"
4,0,116.548,39.9628,5,,,,"{name: '4',value: [116.548,39.9628,5]},"
5,0,116.4442,39.8259,5,,,,"{name: '5',value: [116.4442,39.8259,5]},"
6,0,116.4368,39.8518,10,,,,"{name: '6',value: [116.4368,39.8518,10]},"
7,0,116.4556,39.9288,169,,,,"{name: '7',value: [116.4556,39.9288,169]},"
8,0,116.2504,40.0407,4,,,,"{name: '8',value: [116.2504,40.0407,4]},"
9,0,116.671,39.918,20,,,,"{name: '9',value: [116.671,39.918,20]},"
10,0,116.6133,39.8022,4,,,,"{name: '10',value: [116.6133,39.8022,4]},"
11,0,116.31,40.0239,6,,,,"{name: '11',value: [116.31,40.0239,6]},"
12,0,116.4696,40.0287,6,,,,"{name: '12',value: [116.4696,40.0287,6]},"
13,0,116.3389,39.9778,22,,,,"{name: '13',value: [116.3389,39.9778,22]},"
14,0,116.7074,39.8611,6,,,,"{name: '14',value: [116.7074,39.8611,6]},"
15,0,116.4293,40.0408,20,,,,"{name: '15',value: [116.4293,40.0408,20]},"
16,0,116.5629,39.9696,5,,,,"{name: '16',value: [116.5629,39.9696,5]},"
17,0,116.3918,39.8944,4,,,,"{name: '17',value: [116.3918,39.8944,4]},"
18,0,116.2979,40.1054,4,,,,"{name: '18',value: [116.2979,40.1054,4]},"
19,0,116.3008,39.9139,8,,,,"{name: '19',value: [116.3008,39.9139,8]},"
20,0,116.8484,40.3788,21,,,,"{name: '20',value: [116.8484,40.3788,21]},"
21,0,116.3762,39.9838,72,,,,"{name: '21',value: [116.3762,39.9838,72]},"
22,0,116.418,39.9752,9,,,,"{name: '22',value: [116.418,39.9752,9]},"
23,0,116.6899,39.8795,25,,,,"{name: '23',value: [116.6899,39.8795,25]},"
24,0,116.5509,39.7643,4,,,,"{name: '24',value: [116.5509,39.7643,4]},"
25,0,116.4234,40.0708,16,,,,"{name: '25',value: [116.4234,40.0708,16]},"
26,0,116.4542,39.9395,625,,,,"{name: '26',value: [116.4542,39.9395,625]},"
27,0,116.2026,39.9309,4,,,,"{name: '27',value: [116.2026,39.9309,4]},"
28,0,116.4712,39.8318,4,,,,"{name: '28',value: [116.4712,39.8318,4]},"
29,0,116.2204,40.2289,6,,,,"{name: '29',value: [116.2204,40.2289,6]},"
30,0,116.4793,39.9978,21,,,,"{name: '30',value: [116.4793,39.9978,21]},"
31,0,116.503,39.9154,90,,,,"{name: '31',value: [116.503,39.9154,90]},"
32,0,116.4032,40.0905,5,,,,"{name: '32',value: [116.4032,40.0905,5]},"
33,0,116.2601,39.8818,13,,,,"{name: '33',value: [116.2601,39.8818,13]},"
34,0,116.491,40.0159,8,,,,"{name: '34',value: [116.491,40.0159,8]},"
35,0,117.1174,40.157,10,,,,"{name: '35',value: [117.1174,40.157,10]},"
36,0,116.6198,39.933,9,,,,"{name: '36',value: [116.6198,39.933,9]},"
37,0,116.4606,39.8589,5,,,,"{name: '37',value: [116.4606,39.8589,5]},"
38,0,116.3443,39.7591,13,,,,"{name: '38',value: [116.3443,39.7591,13]},"
39,0,116.5251,39.7841,21,,,,"{name: '39',value: [116.5251,39.7841,21]},"
40,0,116.3165,39.8661,6,,,,"{name: '40',value: [116.3165,39.8661,6]},"
41,0,116.5118,39.799,46,,,,"{name: '41',value: [116.5118,39.799,46]},"
42,0,116.5978,40.0749,8,,,,"{name: '42',value: [116.5978,40.0749,8]},"
43,0,116.401,40.1122,8,,,,"{name: '43',value: [116.401,40.1122,8]},"
44,0,116.3749,39.9429,10,,,,"{name: '44',value: [116.3749,39.9429,10]},"
45,0,116.7298,39.9757,4,,,,"{name: '45',value: [116.7298,39.9757,4]},"
46,0,116.4306,40.0856,6,,,,"{name: '46',value: [116.4306,40.0856,6]},"
47,0,116.4784,40.0188,37,,,,"{name: '47',value: [116.4784,40.0188,37]},"
48,0,117.1274,40.1466,8,,,,"{name: '48',value: [117.1274,40.1466,8]},"
49,0,116.5016,39.9404,10,,,,"{name: '49',value: [116.5016,39.9404,10]},"
50,0,116.458,39.9666,58,,,,"{name: '50',value: [116.458,39.9666,58]},"
51,0,116.6941,40.1219,4,,,,"{name: '51',value: [116.6941,40.1219,4]},"
52,0,116.6408,40.1722,4,,,,"{name: '52',value: [116.6408,40.1722,4]},"
53,0,116.1821,39.7575,4,,,,"{name: '53',value: [116.1821,39.7575,4]},"
54,0,116.4047,39.9551,173,,,,"{name: '54',value: [116.4047,39.9551,173]},"
55,0,116.3611,39.9717,16,,,,"{name: '55',value: [116.3611,39.9717,16]},"
56,0,116.3171,40.0325,10,,,,"{name: '56',value: [116.3171,40.0325,10]},"
57,0,116.5589,39.9304,20,,,,"{name: '57',value: [116.5589,39.9304,20]},"
58,0,116.3651,40.087,9,,,,"{name: '58',value: [116.3651,40.087,9]},"
59,0,116.838,40.3937,18,,,,"{name: '59',value: [116.838,40.3937,18]},"
60,0,116.4251,39.9219,202,,,,"{name: '60',value: [116.4251,39.9219,202]},"
61,0,116.485,39.9287,34,,,,"{name: '61',value: [116.485,39.9287,34]},"
62,0,116.4725,39.8899,28,,,,"{name: '62',value: [116.4725,39.8899,28]},"
63,0,116.0063,39.6626,4,,,,"{name: '63',value: [116.0063,39.6626,4]},"
64,0,116.2719,39.7203,4,,,,"{name: '64',value: [116.2719,39.7203,4]},"
65,0,116.2935,39.896,10,,,,"{name: '65',value: [116.2935,39.896,10]},"
66,0,116.6564,40.1276,12,,,,"{name: '66',value: [116.6564,40.1276,12]},"
67,0,116.3745,39.9744,8,,,,"{name: '67',value: [116.3745,39.9744,8]},"
68,0,116.1419,39.7406,28,,,,"{name: '68',value: [116.1419,39.7406,28]},"
69,0,116.3078,40.1572,6,,,,"{name: '69',value: [116.3078,40.1572,6]},"
70,0,116.6005,40.0853,108,,,,"{name: '70',value: [116.6005,40.0853,108]},"
71,0,116.2853,40.1038,13,,,,"{name: '71',value: [116.2853,40.1038,13]},"
72,0,116.366,39.9266,82,,,,"{name: '72',value: [116.366,39.9266,82]},"
73,0,116.3022,39.9675,38,,,,"{name: '73',value: [116.3022,39.9675,38]},"
74,0,116.4912,39.9968,161,,,,"{name: '74',value: [116.4912,39.9968,161]},"
75,0,116.5146,39.9633,9,,,,"{name: '75',value: [116.5146,39.9633,9]},"
76,0,116.3683,39.8818,13,,,,"{name: '76',value: [116.3683,39.8818,13]},"
77,0,116.3281,39.8752,8,,,,"{name: '77',value: [116.3281,39.8752,8]},"
78,0,116.3332,39.8551,13,,,,"{name: '78',value: [116.3332,39.8551,13]},"
79,0,116.411,39.9473,18,,,,"{name: '79',value: [116.411,39.9473,18]},"
80,0,116.282,39.9427,4,,,,"{name: '80',value: [116.282,39.9427,4]},"
81,0,116.564,40.0625,9,,,,"{name: '81',value: [116.564,40.0625,9]},"
82,0,116.364,39.8519,14,,,,"{name: '82',value: [116.364,39.8519,14]},"
83,0,116.2873,39.9623,30,,,,"{name: '83',value: [116.2873,39.9623,30]},"
84,0,116.401,39.8872,16,,,,"{name: '84',value: [116.401,39.8872,16]},"
85,0,116.6407,40.327,22,,,,"{name: '85',value: [116.6407,40.327,22]},"
86,0,116.1905,39.9139,9,,,,"{name: '86',value: [116.1905,39.9139,9]},"
87,0,116.5557,39.8233,17,,,,"{name: '87',value: [116.5557,39.8233,17]},"
88,0,116.8761,40.3918,69,,,,"{name: '88',value: [116.8761,40.3918,69]},"
89,0,116.6212,40.0623,262,,,,"{name: '89',value: [116.6212,40.0623,262]},"
90,0,116.4241,40.0089,61,,,,"{name: '90',value: [116.4241,40.0089,61]},"
91,0,116.3526,40.0776,17,,,,"{name: '91',value: [116.3526,40.0776,17]},"
