,hour,longitude,latitude,value
0,0,121.3892,31.2075,250
1,0,119.6052,39.9641,200
2,0,120.2006,35.961,198
3,0,123.4602,41.8165,182
4,0,121.4872,31.1925,164
5,0,121.5606,31.2614,163
6,0,117.7185,39.0327,143
7,0,106.2832,38.4813,139
8,0,116.467,39.921,135
9,0,121.5601,38.879,133
10,0,114.4049,30.5073,122
11,0,108.9607,34.2635,115
12,0,116.4665,39.9165,114
13,0,121.5417,29.8643,112
14,0,120.6503,28.0085,111
15,0,113.0256,28.1967,108
16,0,116.4752,39.9212,104
17,0,116.4712,39.9392,104
18,0,116.4573,39.9702,103
19,0,122.9907,41.1258,103
20,0,116.459,39.9582,103
21,0,116.3845,39.9947,100
22,0,118.5399,37.4721,100
23,0,116.3804,39.9815,100
24,0,116.4339,39.9406,97
25,0,113.3102,23.1512,96
26,0,114.2548,30.5709,96
27,0,116.3596,39.9942,96
28,0,116.473,39.9016,95
29,0,116.4771,39.9255,95
30,0,116.3676,39.9745,94
31,0,116.444,39.9199,94
32,0,116.4359,39.9484,93
33,0,116.4653,39.9399,93
34,0,116.4674,39.8959,92
35,0,116.4452,39.9328,91
36,0,116.3891,39.9515,90
37,0,116.3178,39.8944,89
38,0,116.4236,39.9573,88
39,0,116.4735,39.9642,86
40,0,116.3672,39.945,85
41,0,130.2784,47.3332,85
42,0,116.3236,39.8838,84
43,0,116.4773,39.9525,84
44,0,116.3212,39.9515,83
45,0,116.3672,39.953,83
46,0,116.4348,39.9364,82
47,0,116.4327,39.9759,81
48,0,116.3718,40.0064,81
49,0,116.4699,39.8835,80
50,0,113.2474,23.1337,79
51,0,114.9656,25.8317,79
52,0,116.4358,39.9417,79
53,0,116.4414,39.9081,79
54,0,116.6293,40.0588,79
55,0,116.3199,39.9038,78
56,0,114.5437,38.0559,77
57,0,116.4169,39.9489,77
58,0,116.3182,39.974,77
59,0,116.3465,39.9981,77
60,0,130.2793,47.3289,77
61,0,116.4767,39.9432,76
62,0,116.3724,39.993,76
63,0,116.4683,39.9346,76
64,0,116.4716,39.8954,75
65,0,116.4502,39.9668,75
66,0,116.4934,39.9895,75
67,0,121.3422,31.2029,75
68,0,126.5681,43.843,74
69,0,116.4402,39.9796,74
70,0,118.8826,32.1217,74
71,0,116.3307,39.969,74
72,0,116.3209,39.9363,73
73,0,121.5958,29.8391,73
74,0,116.3888,39.9936,72
75,0,116.4402,39.9532,72
76,0,116.5191,40.0118,72
