,hour,longitude,latitude,value
0,0,116.3461,39.9987,263.0
1,0,116.3165,39.8661,24.0
2,0,116.5218,39.8317,35.0
3,0,116.4293,40.0408,81.0
4,0,116.2257,39.9117,80.0
5,0,116.4225,39.9569,158.0
6,0,116.3699,39.778,16.0
7,0,116.3165,40.0586,498.0
8,0,116.5196,39.9362,161.0
9,0,116.4202,40.0497,31.0
10,0,116.4813,39.9436,65.0
11,0,116.3214,39.8869,57.0
12,0,116.6642,39.8957,14.0
13,0,116.5502,39.7777,14.0
14,0,116.6899,39.8795,28.0
15,0,116.386,39.8721,306.0
16,0,116.512,39.9213,122.0
17,0,116.3008,39.9139,58.0
18,0,116.3389,39.9778,67.0
19,0,116.131,39.7127,20.0
20,0,116.1628,39.8235,77.0
21,0,116.4453,40.0447,41.0
22,0,116.833,40.385,55.0
23,0,116.4725,39.8899,106.0
24,0,116.3651,40.087,24.0
25,0,116.212,39.9157,215.0
26,0,116.3584,39.9824,647.0
27,0,116.5146,39.9633,61.0
28,0,116.8484,40.3788,25.0
29,0,116.5026,39.9903,105.0
30,0,116.5008,40.0455,27.0
31,0,116.3526,40.0776,15.0
32,0,116.4916,39.9832,465.0
33,0,116.3201,40.0427,312.0
34,0,116.6919,39.9018,143.0
35,0,116.345,39.7483,169.0
36,0,116.3357,39.9449,48.0
37,0,116.5058,39.8082,73.0
38,0,116.4857,39.8084,84.0
39,0,116.2178,39.9531,30.0
40,0,116.838,40.3937,8.0
41,0,116.503,39.9154,104.0
42,0,116.4542,39.9395,785.0
43,0,116.4672,39.9326,168.0
44,0,116.4556,39.9288,234.0
45,0,116.3171,40.0325,27.0
46,0,116.3931,39.8584,73.0
47,0,116.3304,39.908,70.0
48,0,116.2504,40.0407,70.0
49,0,116.4405,39.9286,273.0
50,0,116.4163,39.9306,152.0
51,0,116.4143,39.9144,457.0
52,0,116.3409,39.7696,44.0
53,0,116.5118,39.799,340.0
54,0,116.487,39.88,90.0
55,0,116.4716,39.9202,1717.0
56,0,116.3594,39.9143,162.0
57,0,116.8226,40.3716,30.0
58,0,116.4147,39.9892,31.0
59,0,116.3774,39.9056,535.0
60,0,116.2979,40.1054,280.0
61,0,116.3825,39.9155,432.0
62,0,116.3111,40.0007,214.0
63,0,116.324,39.9301,49.0
64,0,116.4731,39.9889,295.0
65,0,116.3134,39.9764,73.0
66,0,116.376,39.866,17.0
67,0,116.484,39.9128,139.0
68,0,116.386,39.9501,37.0
69,0,116.3366,40.0595,31.0
70,0,116.3691,40.0742,50.0
71,0,116.1419,39.7406,14.0
72,0,116.3041,40.0593,87.0
73,0,116.3401,39.9887,351.0
74,0,116.4265,39.9036,226.0
75,0,116.4027,39.9396,138.0
76,0,116.5058,39.9814,189.0
77,0,116.345,40.0862,379.0
78,0,116.8557,40.3898,10.0
79,0,116.3184,39.9619,24.0
80,0,116.1771,39.9461,31.0
81,0,116.4378,39.9916,78.0
82,0,116.6948,39.9232,40.0
83,0,116.418,39.9752,69.0
84,0,116.6449,39.9124,46.0
85,0,116.2874,39.9037,59.0
86,0,116.4397,39.9408,1017.0
87,0,116.282,39.9427,35.0
88,0,116.3434,40.033,111.0
89,0,116.4244,39.9837,44.0
90,0,116.2878,39.9528,61.0
91,0,116.3247,40.0216,135.0
92,0,116.3903,39.9394,574.0
93,0,116.2964,39.8249,65.0
94,0,116.4931,39.9046,207.0
95,0,116.4565,39.9198,201.0
96,0,116.4793,39.9546,41.0
97,0,116.4425,39.9771,44.0
98,0,116.3514,40.0657,126.0
99,0,116.485,39.9287,100.0
100,0,116.2935,39.896,35.0
101,0,116.2853,40.1038,28.0
102,0,116.4434,39.8717,88.0
103,0,116.4241,40.0089,100.0
104,0,116.4303,40.0006,69.0
105,0,116.3032,40.0381,194.0
106,0,116.4251,39.9219,215.0
107,0,116.3897,40.0059,36.0
108,0,116.458,39.9666,391.0
109,0,116.6407,40.327,8.0
110,0,116.3575,40.006,83.0
111,0,116.5975,40.0643,61.0
112,0,116.3762,39.9838,171.0
113,0,116.6586,39.8791,46.0
114,0,116.3118,39.9315,62.0
115,0,116.2741,40.0408,74.0
116,0,116.401,39.8872,101.0
117,0,116.3399,40.0462,99.0
118,0,116.4652,39.9591,476.0
119,0,116.458,39.8739,70.0
120,0,116.4691,39.9061,830.0
121,0,116.4047,39.9551,194.0
122,0,116.446,39.9557,112.0
123,0,116.3597,40.0314,37.0
124,0,116.496,39.8926,39.0
125,0,116.5083,39.9322,30.0
126,0,116.4392,39.8619,106.0
127,0,116.2873,39.9623,169.0
128,0,116.2814,40.0505,96.0
129,0,116.5016,39.9404,137.0
130,0,116.6578,40.1419,14.0
131,0,116.8761,40.3918,10.0
132,0,116.6077,39.893,24.0
133,0,116.2846,40.0087,53.0
134,0,116.323,39.9517,43.0
135,0,116.2872,39.9175,119.0
136,0,116.3022,39.9797,51.0
137,0,116.3738,39.8452,24.0
138,0,116.4354,40.0116,34.0
139,0,116.2601,39.8818,102.0
140,0,116.366,39.9266,267.0
141,0,116.3142,39.9192,32.0
142,0,116.3886,39.983,209.0
143,0,116.4234,40.0708,76.0
144,0,116.3585,40.0218,90.0
145,0,116.6686,39.8723,29.0
146,0,116.3623,39.9612,261.0
147,0,116.4746,40.008,807.0
148,0,116.3683,39.8818,45.0
149,0,116.3443,39.7591,16.0
150,0,116.332,39.959,565.0
151,0,116.4103,39.964,42.0
152,0,116.6005,40.0853,1228.0
153,0,116.4817,39.8985,19.0
154,0,116.3937,39.996,275.0
155,0,117.1274,40.1466,10.0
156,0,116.4912,39.9968,466.0
157,0,116.4793,39.9978,30.0
158,0,116.4233,39.947,628.0
159,0,116.4434,39.9138,94.0
160,0,116.4784,40.0188,54.0
161,0,116.364,39.8519,14.0
162,0,116.2026,39.9309,23.0
163,0,116.6371,39.8799,129.0
164,0,116.3547,39.8792,115.0
165,0,116.6063,39.9209,34.0
166,0,116.3105,39.9511,25.0
167,0,116.3436,39.8905,145.0
168,0,116.3611,39.9717,216.0
169,0,116.3281,39.8752,37.0
170,0,116.5295,39.9269,20.0
171,0,116.8654,40.3792,25.0
172,0,116.4424,39.8997,30.0
173,0,116.6212,40.0623,1603.0
174,0,116.4407,39.8869,24.0
175,0,116.3624,40.0521,255.0
