,hour,longitude,latitude,value,,,,,,
0,0,116.2026,39.9309,48,,30.51676471,,,,
1,0,116.4238,39.9378,112,,,,,,
2,0,116.2504,40.0407,22,,,,,,
3,0,116.4784,40.0188,11,,,,,,
4,0,116.3596,39.9048,27,,,,,,
5,0,116.3435,39.9134,7,,,,,,
6,0,116.1905,39.9139,9.5,,,,,,
7,0,116.6623,40.2932,77,,,,,,
8,0,116.662,40.329,53,,,,,,
9,0,116.484,39.9128,22.33,,,,,,
10,0,116.4793,39.9546,36.8,,,,,,
11,0,116.2257,39.9117,60,,,,,,
12,0,116.624,40.0721,71.5,,,,,,
13,0,116.838,40.3937,37,,,,,,
14,0,116.2195,39.9033,13,,,,,,
15,0,116.3903,39.9394,56.14,,,,,,
16,0,116.503,39.9154,69.67,,,,,,
17,0,116.3918,39.7681,7,,,,,,
18,0,116.3624,40.0521,26.43,,,,,,
19,0,116.4143,39.9144,43.42,,,,,,
20,0,116.5138,40.0021,29,,,,,,
21,0,116.2964,39.8249,16,,,,,,
22,0,116.4147,39.9892,9,,,,,,
23,0,116.6919,39.9018,58.2,,,,,,
24,0,116.2357,40.2183,7,,,,,,
25,0,116.3745,39.9744,11,,,,,,
26,0,116.2878,39.9528,16,,,,,,
27,0,116.2627,39.8967,35,,,,,,
28,0,116.4378,39.9916,19.75,,,,,,
29,0,116.2406,40.2293,49,,,,,,
30,0,116.6391,39.9211,18,,,,,,
31,0,116.5058,39.8082,7,,,,,,
32,0,116.5008,40.0455,49,,,,,,
33,0,116.6331,40.3044,10,,,,,,
34,0,116.6362,40.3393,20,,,,,,
35,0,116.3897,40.0059,47.33,,,,,,
36,0,116.458,39.8739,16,,,,,,
37,0,116.3247,40.0216,4.5,,,,,,
38,0,116.2897,39.8579,97,,,,,,
39,0,116.4354,40.0116,33,,,,,,
40,0,116.5251,39.7841,19,,,,,,
41,0,116.5751,39.9288,75.5,,,,,,
42,0,116.3544,39.7661,70.5,,,,,,
43,0,116.4916,39.9832,36.8,,,,,,
44,0,116.3111,40.0007,9.25,,,,,,
45,0,116.512,39.9213,60.5,,,,,,
46,0,116.6005,40.0853,32.08,,,,,,
47,0,116.3526,40.0776,68,,,,,,
48,0,116.4508,39.8181,16,,,,,,
49,0,116.564,40.0625,135,,,,,,
50,0,116.3389,39.9778,19,,,,,,
51,0,116.2941,39.8366,7,,,,,,
52,0,116.419,39.8957,15,,,,,,
53,0,116.386,39.8721,38,,,,,,
54,0,116.3366,40.0595,24,,,,,,
55,0,116.5659,39.9442,23,,,,,,
56,0,116.2755,40.0269,17,,,,,,
57,0,116.4233,39.947,62.32,,,,,,
58,0,116.2428,39.9098,10,,,,,,
59,0,116.5502,39.7777,12,,,,,,
60,0,116.3854,39.9642,27,,,,,,
61,0,116.4434,39.9138,46.77,,,,,,
62,0,116.3399,40.0462,18.83,,,,,,
63,0,116.401,40.1122,24,,,,,,
64,0,116.4691,39.9061,27.9,,,,,,
65,0,116.3501,39.8028,13.75,,,,,,
66,0,116.3434,40.033,38.71,,,,,,
67,0,116.3236,39.7641,30,,,,,,
68,0,116.4725,39.8899,58.33,,,,,,
69,0,116.3304,39.908,9.5,,,,,,
70,0,116.4716,39.9202,39.85,,,,,,
71,0,116.3041,40.0593,7.33,,,,,,
72,0,116.4746,40.008,36.4,,,,,,
73,0,116.4931,39.9046,22.29,,,,,,
74,0,116.6449,39.9124,40.44,,,,,,
75,0,116.4542,39.9395,56.31,,,,,,
76,0,116.7298,39.9757,11,,,,,,
77,0,116.3699,39.8975,14,,,,,,
78,0,116.3022,39.9675,12,,,,,,
79,0,116.2178,39.9531,8,,,,,,
80,0,116.4994,39.9261,15.5,,,,,,
81,0,117.1274,40.1466,12.5,,,,,,
82,0,116.5635,39.9533,8,,,,,,
