,hour,longitude,latitude,value
0,0,120.4549,41.5836,8.0
1,0,116.4724,39.919,7.0
2,0,116.2313,39.9094,3.0
3,0,116.1692,39.9158,10.0
4,0,116.7861,39.9432,0.0
5,0,119.9556,31.8207,8.0
6,0,116.4631,39.8074,0.0
7,0,116.6343,39.9172,8.0
8,0,116.8294,40.3769,8.0
9,0,116.4247,39.8064,0.0
10,0,116.3609,39.9493,4.0
11,0,116.3378,39.9987,8.0
12,0,108.7647,34.4491,8.0
13,0,116.6714,39.8845,8.0
14,0,116.4166,40.0624,0.0
15,0,114.4825,38.0096,8.0
16,0,116.3877,39.8767,8.0
17,0,116.3883,39.8676,8.0
18,0,116.53,39.9083,8.0
19,0,106.4926,29.5363,8.0
20,0,113.9995,22.534,8.0
21,0,116.4222,39.9521,4.0
22,0,116.3454,39.9549,5.0
23,0,116.4297,40.0365,8.0
24,0,126.0692,42.9451,8.0
25,0,116.4656,39.943,3.0
26,0,116.5328,39.8444,0.0
27,0,116.3836,39.9142,5.0
28,0,108.7675,34.4497,8.0
29,0,130.2862,47.3339,8.0
30,0,116.4631,39.9129,1.0
31,0,116.487,39.9064,3.0
32,0,116.3867,39.9239,1.0
33,0,116.2242,39.9055,8.0
34,0,116.3955,39.9659,8.0
35,0,116.4893,39.9204,0.0
36,0,116.6461,39.9145,0.0
37,0,116.3679,39.9204,0.0
38,0,116.443,39.9337,1.0
39,0,108.7665,34.4449,8.0
40,0,116.3678,39.9496,8.0
41,0,116.3846,39.9914,8.0
42,0,108.7761,34.4398,8.0
43,0,116.3422,40.0258,6.0
44,0,116.6458,40.1354,9.0
45,0,116.3264,39.9588,0.0
46,0,116.4754,39.9546,4.0
47,0,116.3541,40.0091,8.0
48,0,116.4546,40.0048,6.0
49,0,116.4442,39.8583,8.0
50,0,116.337,39.7604,-1.0
51,0,116.3752,39.9628,0.0
52,0,116.3098,39.8905,0.0
53,0,116.6637,39.8978,8.0
54,0,118.5044,37.5143,8.0
